# Object-level update of coordinates and other galaxy properties based on VI
# (visual inspections). A value of -99 means that property should not be
# updated.
#
objname,ra,dec,diam,pa,ba,comment
NGC 4151,-99.,-99.,7.0,-99.,-99.,Extended disk
NGC 247,-99.,-99.,32.0,-99.,-99.,Extended disk
ESO 054-IG 014 NED02,54.2256,-68.8329,-99.,-99.,-99.,Better coordinates
ESO 116-IG 004 NED02,44.2145,-57.6683,-99.,-99.,-99.,Better coordinates
ESO 108-IG 002,325.7414,-63.2377,0.34,-99.,-99.,Better coordinates and diameter
WISEA J201901.28-525420.1,-99.,-99.,1.1,-99.,-99.,Extended envelope
WISEA J080918.23+192958.6,-99.,-99.,1.1,-99.,-99.,Extended envelope
WISEA J175437.80-751408.7,-99.,-99.,1.1,-99.,-99.,Extended envelope
LCSB S0908N,-99.,-99.,1.1,-99.,-99.,Extended envelope
WISEA J085154.58-264236.3,-99.,-99.,1.2,-99.,-99.,Extended envelope
FAIRALL 1217,-99.,-99.,1.5,-99.,-99.,Extended envelope
WISEA J092457.75-060030.9,-99.,-99.,1.2,-99.,-99.,Extended envelope
GIN 251,-99.,-99.,2.0,-99.,-99.,Extended envelope
ESO 427- G 012,-99.,-99.,1.2,-99.,-99.,Extended envelope
WISEA J212617.83-344705.2,-99.,-99.,1.2,-99.,-99.,Extended envelope
CGCG 383-037,-99.,-99.,2.0,-99.,-99.,Extended envelope
2MASX J04562425-6306388,-99.,-99.,1.4,-99.,-99.,Extended envelope
FAIRALL 1289,-99.,-99.,1.4,-99.,-99.,Extended envelope
WISEA J211512.20+022421.3,-99.,-99.,1.2,-99.,-99.,Extended envelope
WISEA J063709.37-344902.4,-99.,-99.,1.2,-99.,-99.,Extended envelope
PKS 1619-660,-99.,-99.,1.2,-99.,-99.,Extended envelope
WISEA J153343.07-794401.7,-99.,-99.,1.1,-99.,-99.,Extended envelope
WISEA J024315.37-662538.4,-99.,-99.,1.3,-99.,-99.,Extended envelope
2MASX J18465170-6318523,-99.,-99.,3.0,-99.,-99.,Extended envelope
NGC 2325,-99.,-99.,5.0,-99.,-99.,Extended envelope
WISEA J000553.98-724644.5,-99.,-99.,1.0,-99.,-99.,Extended envelope
MESSIER 105,-99.,-99.,8.5,-99.,-99.,Extended envelope
NGC 3384,-99.,-99.,7.5,-99.,-99.,Extended envelope
