# Object-level update of coordinates and other galaxy properties based on VI
# (visual inspections). A value of -99 means that property should not be
# updated.
objname_ned,ra,dec,diam,pa,ba,comment
UGC 01386 NOTES01,28.748249999999995,13.46725,-99.,-99.,-99.,Center on the galaxy.
NGC 4106,181.689961,-29.768386,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 406-IG 007 NED01,340.904793,-36.440937,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 074-IG 013 NED02,312.853860,-67.935307,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 235-IG 003 NED02,312.464326,-52.087964,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 192-IG 005 NED01,353.099512,-55.779419,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 355-IG 012 NED02,35.781179,-32.869500,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 355-IG 012 NED03,35.789259,-32.872562,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
VII Zw 735 NOTES01,265.296127,67.897179,0.1,-99.,-99.,NED and HyperLeda are both incorrect.
NGC 1044 NED02,40.280070,8.735402,0.5,-99.,-99.,NED and HyperLeda are both incorrect.
NGC 3553,167.667917,28.685639,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 481-IG 012 NED01,48.110808,-27.140094,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 190-IG 014 NED02,337.637496,-54.779187,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
ESO 151-IG 014 NED02,14.407333,-56.599556,-99.,-99.,-99.,NED and HyperLeda are both incorrect.
VII Zw 300 NOTES01,149.894981,81.871918,0.3,-99.,-99.,Moved to the position of '2MASS J09593479+8152189'.
ESO 290-IG 047 NED03,346.442550,-42.477154,-99.,-99.,-99.,Moved to the position of 'MRSS 290-012872'.
ESO 237-IG 032 NED02,330.934655,-49.089276,-99.,-99.,-99.,Moved to the position of 'WISEA J220344.31-490521.3'.
ESO 288-IG 024 NED03,329.465995,-42.761460,-99.,-99.,-99.,Moved to the position of 'WISEA J215751.83-424541.2'.
ESO 284-IG 022 NED01,302.641626,-46.545368,-99.,-99.,-99.,Moved to the position of '2MASS J20103399-4632433'.
ESO 118-IG 041 NED01,71.236972,-58.081389,-99.,-99.,-99.,Moved to the position of 'WISEA J044456.87-580453.0'.
ESO 152-IG 023 NED02,26.448174,-56.093643,-99.,-99.,-99.,Moved to the position of '2MASS J01454756-5605371'.
